"Date","Country","City","Specie","count","min","max","median","variance"
"2015-01-07","VN","Huế","so2",23,0.1,75.7,0.5,2455.96
"2015-03-06","VN","Huế","so2",24,0.4,2.8,1.1,4.02
"2015-06-23","VN","Huế","so2",24,0.1,74,0.1,2271.38
"2015-01-09","VN","Huế","so2",24,0.1,63.4,0.8,1623.03
"2015-02-16","VN","Huế","so2",24,0.2,67.4,1,1835.28
"2015-05-12","VN","Huế","so2",24,0.1,72.3,0.1,2167.14
"2015-05-16","VN","Huế","so2",23,0.1,86.6,1,3191.35
"2015-06-13","VN","Huế","so2",22,0.1,74,0.1,2470.64
"2015-06-22","VN","Huế","so2",24,0.1,73.7,0.1,2250.44
"2015-01-10","VN","Huế","so2",24,0.3,66.4,1.2,1776.49
"2015-01-28","VN","Huế","so2",24,1.2,66.8,2.6,1728.3
"2015-01-31","VN","Huế","so2",24,0.1,66.5,1,2678.15
"2015-02-13","VN","Huế","so2",24,0.3,67.2,1.5,1877.17
"2015-03-17","VN","Huế","so2",8,0.1,69.6,1.2,5908.37
"2015-05-17","VN","Huế","so2",24,0.1,73.1,1.2,2171.56
"2015-02-24","VN","Huế","so2",24,0.1,67.6,1.1,1853.27
"2015-01-20","VN","Huế","so2",24,1.6,66.5,2.9,1687.86
"2015-02-18","VN","Huế","so2",24,0.2,68,1,1983.52
"2015-03-08","VN","Huế","so2",24,0.4,2,1.1,2.24
"2015-03-31","VN","Huế","so2",23,0.1,83,1.2,2923.7
"2015-03-16","VN","Huế","so2",24,0.1,69.1,1.5,1920.3
"2015-04-01","VN","Huế","so2",24,0.1,70.8,0.5,2058.97
"2015-06-01","VN","Huế","so2",12,0.1,1.3,0.4,1.79
"2015-06-02","VN","Huế","so2",24,0.1,65.5,0.7,1744.43
"2015-04-12","VN","Huế","so2",18,0.1,71.3,0.1,2808.26
"2015-05-05","VN","Huế","so2",18,0.4,4.2,1.3,8.09
"2014-12-31","VN","Huế","so2",21,0.1,65.5,0.1,2027.04
"2015-01-27","VN","Huế","so2",9,1.3,3.2,2.2,4.4
"2015-02-17","VN","Huế","so2",24,0.2,67.7,0.8,1861.03
"2015-02-21","VN","Huế","so2",24,0.2,68,1.1,1868.35
"2015-02-23","VN","Huế","so2",24,0.5,68.2,1.9,1839.12
"2015-04-07","VN","Huế","so2",24,0.1,71.1,0.1,2095.69
"2015-05-08","VN","Huế","so2",23,0.1,72.8,0.4,2260.48
"2015-05-19","VN","Huế","so2",16,0.1,73.5,0.3,3314.39
"2015-01-15","VN","Huế","so2",24,0.3,66.1,1,1762.07
"2015-01-16","VN","Huế","so2",24,0.1,66.1,0.9,1771.27
"2015-02-06","VN","Huế","so2",24,0.1,67,1.4,1799.09
"2015-05-07","VN","Huế","so2",15,0.1,72.5,0.1,3457.66
"2015-05-15","VN","Huế","so2",15,0.1,72.8,0.1,3503.25
"2015-06-20","VN","Huế","so2",24,0.1,74.2,0.1,2273.73
"2015-07-02","VN","Huế","so2",24,0.1,74.3,0.2,2287.23
"2015-01-12","VN","Huế","so2",24,0.1,66.4,0.2,1818.85
"2015-02-26","VN","Huế","so2",24,0.2,68.2,1.8,1843.93
"2015-04-08","VN","Huế","so2",24,0.1,71.3,0.4,2092.76
"2015-04-18","VN","Huế","so2",5,0.1,70.6,0.2,9905.55
"2015-05-06","VN","Huế","so2",24,0.1,72.3,1.5,2092.61
"2015-05-14","VN","Huế","so2",24,0.1,72.7,0.4,2146.68
"2015-02-14","VN","Huế","so2",24,0.8,67.8,1.5,1828.1
"2015-03-11","VN","Huế","so2",16,0.1,0.1,0.1,0
"2015-06-03","VN","Huế","so2",24,0.1,74.6,0.4,2286.82
"2015-06-17","VN","Huế","so2",24,0.1,74,0.2,2264.35
"2015-07-03","VN","Huế","so2",24,0.1,74.4,0.8,2258.8
"2015-02-11","VN","Huế","so2",24,0.5,67.5,1.2,1822.45
"2015-02-28","VN","Huế","so2",24,0.1,2,0.4,5.95
"2015-05-04","VN","Huế","so2",24,0.1,72.3,0.7,2117.01
"2015-07-01","VN","Huế","so2",24,0.1,74.6,0.1,2302.12
"2015-01-05","VN","Huế","so2",23,0.1,65.9,0.1,1865.43
"2015-03-12","VN","Huế","so2",24,0.1,62.6,0.1,3082.6
"2015-04-09","VN","Huế","so2",24,0.1,71.3,0.3,2084.83
"2015-06-19","VN","Huế","so2",24,0.1,74.2,0.1,2278.39
"2015-06-11","VN","Huế","so2",24,0.1,73.8,0.2,2246.67
"2015-06-18","VN","Huế","so2",24,0.1,74.2,0.2,2273.33
"2015-01-08","VN","Huế","so2",24,0.1,65.9,0.9,1759.1
"2015-01-13","VN","Huế","so2",24,0.1,66.2,1.7,1745.32
"2015-01-19","VN","Huế","so2",24,0.1,66.2,1.3,1749.27
"2015-01-23","VN","Huế","so2",24,0.3,66.8,1.5,1776.63
"2015-02-25","VN","Huế","so2",24,0.4,68,1.7,1832.51
"2015-06-07","VN","Huế","so2",18,0.1,73.9,0.1,3002.81
"2015-05-13","VN","Huế","so2",24,0.1,72.7,0.5,2175.69
"2015-06-27","VN","Huế","so2",24,0.1,74,0.1,2270.6
"2015-06-29","VN","Huế","so2",24,0.1,73.9,0.1,2263.24
"2015-01-22","VN","Huế","so2",24,0.7,66.5,2.2,1733.14
"2015-06-08","VN","Huế","so2",11,0.1,1.3,0.1,1.78
"2015-04-05","VN","Huế","so2",24,0.1,70.8,0.2,2060.44
"2015-04-14","VN","Huế","so2",24,0.1,71.6,0.9,2088.27
"2014-12-30","VN","Huế","so2",24,0.1,65.8,0.2,1785.39
"2015-01-02","VN","Huế","so2",24,0.1,65.5,0.1,1772.31
"2015-02-04","VN","Huế","so2",24,0.1,67.2,0.9,1830.4
"2015-02-05","VN","Huế","so2",24,0.3,67,1.4,1795.81
"2015-02-08","VN","Huế","so2",24,1.4,67.6,2.5,1763.36
"2015-03-13","VN","Huế","so2",24,0.4,68.9,1,1924.41
"2015-06-16","VN","Huế","so2",24,0.1,74.1,0.2,2269.17
"2015-06-25","VN","Huế","so2",24,0.1,72.1,0.4,2139.05
"2015-01-11","VN","Huế","so2",24,0.2,66.5,1.1,1789.36
"2015-01-18","VN","Huế","so2",24,0.1,66.6,1.3,1777.95
"2015-02-10","VN","Huế","so2",24,0.9,67.6,1.8,1795.77
"2015-04-17","VN","Huế","so2",24,0.1,71.7,0.9,2095.16
"2015-06-21","VN","Huế","so2",24,0.1,74.4,0.7,2249
"2015-03-05","VN","Huế","so2",23,0.1,0.1,0.1,0
"2015-03-24","VN","Huế","so2",9,0.1,0.6,0.1,0.4
"2015-06-09","VN","Huế","so2",15,0.1,2.3,1.6,5.61
"2015-06-10","VN","Huế","so2",24,0.1,73.7,0.5,2234.55
"2015-07-04","VN","Huế","so2",24,0.1,74.1,1,2235.31
"2015-01-03","VN","Huế","so2",24,0.1,65.7,0.1,1782.58
"2015-01-29","VN","Huế","so2",24,1,66.8,2.8,1724.36
"2015-01-30","VN","Huế","so2",24,1.1,62.1,2.7,1472.38
"2015-06-14","VN","Huế","so2",24,0.1,74,0.3,2257.01
"2015-07-05","VN","Huế","so2",24,0.1,74.2,0.5,2252.64
"2015-01-04","VN","Huế","so2",24,0.1,65.6,0.1,1787.14
"2015-02-19","VN","Huế","so2",24,0.1,67.6,0.8,1863.58
